"","prec","district","party","votes"
"1","p1","1","REP",519
"2","p2","1","REP",659
"3","p3","1","REP",952
"4","p4","1","REP",845
"5","p5","1","REP",718
"6","p6","1","REP",816
"7","p7","1","REP",771
"8","p8","1","REP",826
"9","p9","1","REP",786
"10","p10","1","REP",537
"11","p11","1","REP",1205
"12","p12","1","REP",1104
"13","p13","1","REP",1118
"14","p16","1","REP",881
"15","p17","1","REP",841
"16","p18","1","REP",631
"17","p19","1","REP",750
"18","p20","1","REP",960
"19","p21","1","REP",560
"20","p22","1","REP",889
"21","p24","1","REP",741
"22","p25","1","REP",691
"23","p26","1","REP",945
"24","p1","1","DEM",437
"25","p2","1","DEM",285
"26","p3","1","DEM",491
"27","p4","1","DEM",437
"28","p5","1","DEM",337
"29","p6","1","DEM",460
"30","p7","1","DEM",400
"31","p8","1","DEM",333
"32","p9","1","DEM",399
"33","p10","1","DEM",312
"34","p11","1","DEM",520
"35","p12","1","DEM",386
"36","p13","1","DEM",515
"37","p16","1","DEM",558
"38","p17","1","DEM",534
"39","p18","1","DEM",475
"40","p19","1","DEM",361
"41","p20","1","DEM",587
"42","p21","1","DEM",263
"43","p22","1","DEM",486
"44","p24","1","DEM",238
"45","p25","1","DEM",346
"46","p26","1","DEM",384
"47","p19","2","REP",658
"48","p21","2","REP",825
"49","p23","2","REP",1351
"50","p31","2","REP",1508
"51","p32","2","REP",643
"52","p33","2","REP",720
"53","p34","2","REP",757
"54","p35","2","REP",749
"55","p36","2","REP",941
"56","p37","2","REP",1464
"57","p38","2","REP",850
"58","p39","2","REP",998
"59","p40","2","REP",878
"60","p41","2","REP",1115
"61","p42","2","REP",928
"62","p46","2","REP",777
"63","p47","2","REP",475
"64","p48","2","REP",1180
"65","p49","2","REP",1104
"66","p51","2","REP",1510
"67","p52","2","REP",1380
"68","p53","2","REP",1062
"69","p54","2","REP",1006
"70","p55","2","REP",1316
"71","p56","2","REP",813
"72","p57","2","REP",701
"73","p58","2","REP",796
"74","p59","2","REP",814
"75","p60","2","REP",693
"76","p61","2","REP",1826
"77","p62","2","REP",837
"78","p19","2","DEM",342
"79","p21","2","DEM",385
"80","p23","2","DEM",646
"81","p31","2","DEM",944
"82","p32","2","DEM",497
"83","p33","2","DEM",644
"84","p34","2","DEM",750
"85","p35","2","DEM",599
"86","p36","2","DEM",491
"87","p37","2","DEM",814
"88","p38","2","DEM",580
"89","p39","2","DEM",561
"90","p40","2","DEM",544
"91","p41","2","DEM",708
"92","p42","2","DEM",589
"93","p46","2","DEM",341
"94","p47","2","DEM",268
"95","p48","2","DEM",579
"96","p49","2","DEM",630
"97","p51","2","DEM",762
"98","p52","2","DEM",831
"99","p53","2","DEM",770
"100","p54","2","DEM",722
"101","p55","2","DEM",797
"102","p56","2","DEM",578
"103","p57","2","DEM",544
"104","p58","2","DEM",289
"105","p59","2","DEM",407
"106","p60","2","DEM",399
"107","p61","2","DEM",822
"108","p62","2","DEM",539
"109","doug","2","DEM",119230
"110","doug","2","REP",110391
"111","lanc","1","DEM",73923
"112","lanc","1","DEM",171026
